Pays,Disponibilité alimentaire,Exportations,Importations,Consommation,Production,Nombre d'habitants,Evolution de la population (en %) entre 2000 et 2018,PIB,Stabilité politique
Nouvelle-Zélande,34.79,23.0,1.0,164.0,223.0,4702034.0,22.910915499071134,42218.5,1.6
Népal,1.99,132.1851851851852,0.0,55.0,58.0,27632681.0,17.353430981270293,3565.2,-0.61
Oman,21.63,16.0,126.0,101.0,7.0,4665928.0,112.9422616583178,33308.5,0.75
Ouganda,1.52,0.0,0.0,62.0,65.0,41166588.0,80.67114268767263,2074.7,-0.57
Ouzbékistan,1.96,132.1851851851852,89.52941176470588,657.0470588235294,725.1904761904761,31959785.0,31.111437223038962,6840.7,-0.24
Pakistan,5.86,4.0,2.0,1218.0,1281.0,207906209.0,49.09579271640902,5091.1,-2.41
Panama,33.82,0.0,20.0,139.0,198.0,4106769.0,37.83550823541214,30446.8,0.39
Paraguay,5.99,4.0,1.0,41.0,45.0,6867061.0,30.674494538154768,12590.5,0.0
Pays-Bas,20.33,1418.0,608.0,346.0,1100.0,17021347.0,7.116404754232462,55088.6,0.92
Philippines,13.87,2.0,249.0,1459.0,1272.0,105172925.0,36.747011270614436,8120.9,-1.19
Pologne,30.3,1025.0,55.0,1150.0,2351.0,37953180.0,-1.6471874286521409,30064.5,0.52
Polynésie française,47.4,0.0,15.0,13.0,1.0,276102.0,15.369817937063226,17000.0,-0.06420118343195268
Portugal,30.58,44.0,82.0,315.0,361.0,10288527.0,-0.3973832662983563,33044.7,1.12
Pérou,13.47,1.0,60.0,424.0,1465.0,31444298.0,20.896930091764364,12506.5,-0.26
Roumanie,19.37,69.0,146.0,381.0,392.0,19653969.0,-11.886232085140549,27141.9,0.06
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,31.94,359.0,779.0,2131.0,1814.0,66727460.0,13.947578877486327,46372.4,0.39
Rwanda,1.49,0.0,0.0,18.0,19.0,11980961.0,55.060053460682376,1975.2,0.09
République centrafricaine,2.29,132.1851851851852,4.0,11.0,7.0,4596023.0,28.18188635563905,912.8,-2.01
République de Corée,16.7,6.0,137.0,854.0,838.0,51096415.0,8.00448660627552,40957.4,0.39
République de Moldova,16.14,0.0,16.0,66.0,54.0,4059684.0,-3.586159045061482,11651.3,-0.32
République dominicaine,35.26,6.0,42.0,371.0,339.0,10513104.0,25.448451310014104,16735.4,0.16
République démocratique populaire lao,10.91,132.1851851851852,89.52941176470588,657.0470588235294,725.1904761904761,6953035.0,32.6428423840562,7257.8,0.4
République populaire démocratique de Corée,1.62,0.0,0.0,41.0,43.0,25429825.0,11.428847434970665,40957.4,-0.5
République-Unie de Tanzanie,1.88,132.1851851851852,2.0,103.0,105.0,54660339.0,68.10392970813017,2530.6,-0.56
Saint-Kitts-et-Nevis,55.77,0.0,4.0,3.0,0.0,52045.0,18.98398148568317,26980.3,0.65
Saint-Vincent-et-les Grenadines,72.31,132.1851851851852,9.0,8.0,0.0,109827.0,2.251725673569361,13102.1,0.89
Sainte-Lucie,56.69,132.1851851851852,10.0,10.0,1.0,180954.0,16.053187348863325,14928.4,0.99
Samoa,64.77,0.0,17.0,13.0,0.0,195352.0,12.424478659130774,6486.1,1.18
Sao Tomé-et-Principe,9.47,132.1851851851852,2.0,2.0,1.0,207089.0,48.337574334678266,3952.9,0.19
Serbie,10.16,7.0,12.0,90.0,85.0,8829628.0,31.18158330277625,16611.0,0.09
Sierra Leone,3.97,0.0,14.0,30.0,17.0,7488423.0,66.86730339654463,1633.7,-0.04
Slovaquie,13.9,35.0,63.0,76.0,71.0,5447900.0,0.9964974512016663,30061.6,0.91
